GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education,No certificate %,High (secondary) school %,Postsecondary Education %
5350304.03,304.03,1345,45,225,1080,3.35,16.73,80.3
5350304.04,304.04,2100,160,350,1590,7.62,16.67,75.71
5350304.05,304.05,1140,60,190,890,5.26,16.67,78.07
5350304.06,304.06,3080,145,350,2585,4.71,11.36,83.93
5350305.01,305.01,2235,25,295,1915,1.12,13.2,85.68
5350305.03,305.03,2725,65,315,2345,2.39,11.56,86.06
5350305.05,305.05,4370,70,435,3870,1.6,9.95,88.56
5350305.06,305.06,3055,35,355,2665,1.15,11.62,87.23
5350306.01,306.01,2440,135,390,1915,5.53,15.98,78.48
5350306.02,306.02,2560,60,275,2225,2.34,10.74,86.91
5350307.03,307.03,2995,65,295,2635,2.17,9.85,87.98
5350307.04,307.04,4285,80,485,3720,1.87,11.32,86.81
5350307.05,307.05,2275,25,230,2020,1.1,10.11,88.79
5350307.06,307.06,3115,55,245,2815,1.77,7.87,90.37
5350307.07,307.07,3500,95,455,2955,2.71,13.0,84.43
5350308.02,308.02,2435,70,345,2025,2.87,14.17,83.16
5350308.03,308.03,605,15,90,500,2.48,14.88,82.64
5350308.05,308.05,1430,50,140,1240,3.5,9.79,86.71
5350308.06,308.06,3135,80,320,2740,2.55,10.21,87.4
5350308.07,308.07,2420,45,255,2120,1.86,10.54,87.6
5350309.0,309.0,3450,255,710,2490,7.39,20.58,72.17
5350310.01,310.01,1790,85,240,1460,4.75,13.41,81.56
5350310.02,310.02,3045,240,645,2155,7.88,21.18,70.77
5350311.02,311.02,3490,625,965,1900,17.91,27.65,54.44
5350311.03,311.03,1295,180,320,790,13.9,24.71,61.0
5350311.04,311.04,3520,535,1010,1975,15.2,28.69,56.11
5350311.05,311.05,3855,520,900,2435,13.49,23.35,63.16
5350311.06,311.06,3810,295,700,2815,7.74,18.37,73.88
5350312.02,312.02,1910,540,585,790,28.27,30.63,41.36
5350312.03,312.03,3400,790,1030,1585,23.24,30.29,46.62
5350312.04,312.04,2665,935,870,870,35.08,32.65,32.65
5350312.05,312.05,1910,590,635,680,30.89,33.25,35.6
5350312.06,312.06,1870,410,670,790,21.93,35.83,42.25
5350312.07,312.07,1525,270,510,745,17.7,33.44,48.85
5350313.0,313.0,2990,495,905,1590,16.56,30.27,53.18
5350314.01,314.01,3520,800,960,1755,22.73,27.27,49.86
5350314.02,314.02,2650,455,690,1505,17.17,26.04,56.79
5350315.01,315.01,1635,220,385,1035,13.46,23.55,63.3
5350315.02,315.02,1615,385,470,755,23.84,29.1,46.75
