geouid,cma codde,cma name,census tract name,Med income
5590007,559,Windsor,7,38400
5620007,562,Sarnia,7,33600
5680007,568,Barrie,7,31400
5750007,575,North Bay,7,26400
5800007,580,Greater Sudbury / Grand Sudbury,7,38800
5900007,590,Sault Ste. Marie,7,24800
5950007,595,Thunder Bay,7,30800
6020007,602,Winnipeg,7,39600
7050007,705,Regina,7,30600
7250007,725,Saskatoon,7,28200
8050007,805,Medicine Hat,7,41600
8100007,810,Lethbridge,7,25600
8300007,830,Red Deer,7,40000
8500007,850,Grande Prairie,7,39200
9150007,915,Kelowna,7,31600
9250007,925,Kamloops,7,32000
9300007,930,Chilliwack,7,32000
9350007,935,Victoria,7,36000
9380007,938,Nanaimo,7,34400
9700007,970,Prince George,7,40400
5050007.01,505,Ottawa - Gatineau,7.01,46000
5350007.01,535,Toronto,7.01,32800
5390007.01,539,St. Catharines - Niagara,7.01,34000
5550007.01,555,London,7.01,50000
8250007.01,825,Calgary,7.01,40800
8350007.01,835,Edmonton,7.01,37600
8600007.01,860,Wood Buffalo,7.01,91000
9320007.01,932,Abbotsford - Mission,7.01,32400
9330007.01,933,Vancouver,7.01,31600
5050007.02,505,Ottawa - Gatineau,7.02,33200
5350007.02,535,Toronto,7.02,32400
5390007.02,539,St. Catharines - Niagara,7.02,34400
5550007.02,555,London,7.02,41600
8250007.02,825,Calgary,7.02,42800
8350007.02,835,Edmonton,7.02,47200
8600007.02,860,Wood Buffalo,7.02,89000
9320007.02,932,Abbotsford - Mission,7.02,36800
9330007.02,933,Vancouver,7.02,38800
5050007.03,505,Ottawa - Gatineau,7.03,44000
8250007.03,825,Calgary,7.03,45200
8250007.05,825,Calgary,7.05,76000
8250007.06,825,Calgary,7.06,40800
8250007.07,825,Calgary,7.07,31000
10008,1,St. John's,8,35200
2050008,205,Halifax,8,29600
3050008,305,Moncton,8,30800
3100008,310,Saint John,8,27800
3200008,320,Fredericton,8,40000
4080008,408,Saguenay,8,34400
4210008,421,QuÈbec,8,32400
4330008,433,Sherbrooke,8,30000
4420008,442,Trois-RiviËres,8,24600
4470008,447,Drummondville,8,31000
4500008,450,Granby,8,30400
4520008,452,Saint-Hyacinthe,8,36000
4620008,462,MontrÈal,8,37200
5050008,505,Ottawa - Gatineau,8,40000
5210008,521,Kingston,8,24400
5220008,522,Belleville - Quinte West,8,30800
5290008,529,Peterborough,8,27400
5370008,537,Hamilton,8,33200
5390008,539,St. Catharines - Niagara,8,35600
5430008,543,Brantford,8,29200
5500008,550,Guelph,8,36000
5550008,555,London,8,59200
5590008,559,Windsor,8,50400
5620008,562,Sarnia,8,29000
5680008,568,Barrie,8,40800
5750008,575,North Bay,8,29000
5800008,580,Greater Sudbury / Grand Sudbury,8,38800
5900008,590,Sault Ste. Marie,8,32800
5950008,595,Thunder Bay,8,33200
6020008,602,Winnipeg,8,48000
7250008,725,Saskatoon,8,33600
8050008,805,Medicine Hat,8,29600
8100008,810,Lethbridge,8,34800
8250008,825,Calgary,8,41600
8500008,850,Grande Prairie,8,51600
8600008,860,Wood Buffalo,8,88000
9150008,915,Kelowna,8,36000
9250008,925,Kamloops,8,30400
